question_col,runs_col,bleu_col,bleu_hybrid_col,f1_col,f1_hybrid_col
99.0,1.0,4.7878581972127545e-155,4.7878581972127545e-155,0.2173913043478261,0.2173913043478261
98.0,0.0,4.8164300671782836e-155,0.0,0.1923076923076923,0.0
86.0,1.0,0.1988014280301046,0.1988014280301046,0.2391304347826087,0.2391304347826087
84.0,0.0,3.886487562721668e-155,0.0,0.1159420289855072,0.0
81.0,1.0,4.262352868760118e-155,4.262352868760118e-155,0.1290322580645161,0.1290322580645161
73.0,0.0,3.3172585211815478e-155,0.0,0.0933333333333333,0.0
66.0,1.0,3.0425534713814897e-78,3.0425534713814897e-78,0.25,0.25
64.0,1.0,5.364051329359424e-155,5.364051329359424e-155,0.24,0.24
6.0,1.0,4.177908019702813e-155,4.177908019702813e-155,0.1481481481481481,0.1481481481481481
56.0,0.0,3.5161769645525295e-155,0.0,0.175,0.0
49.0,0.0,2.285143976404404e-78,0.0,0.2083333333333333,0.0
44.0,1.0,5.08799269099927e-155,5.08799269099927e-155,0.21875,0.21875
42.0,1.0,5.772775591522288e-155,5.772775591522288e-155,0.2244897959183673,0.2244897959183673
4.0,0.0,1.2604284938324589e-78,0.0,0.09375,0.0
37.0,0.0,4.023062361861117e-155,0.0,0.1142857142857142,0.0
32.0,0.0,4.713705524149605e-155,0.0,0.1578947368421052,0.0
31.0,1.0,7.677476567795425e-155,7.677476567795425e-155,0.25,0.25
29.0,0.0,6.184947518315206e-155,0.0,0.1621621621621621,0.0
23.0,0.0,1.764384106111188e-78,0.0,0.1590909090909091,0.0
68.0,1.0,1.15653922149521e-78,1.15653922149521e-78,0.263157894736842,0.263157894736842
22.0,0.0,6.223629500679345e-155,0.0,0.1874999999999999,0.0
214.0,0.0,2.168138564628256e-78,0.0,0.2564102564102564,0.0
210.0,1.0,5.294647826932765e-155,5.294647826932765e-155,0.173076923076923,0.173076923076923
199.0,1.0,0.072102981116612,0.072102981116612,0.2444444444444444,0.2444444444444444
203.0,1.0,3.4450131449970398e-155,3.4450131449970398e-155,0.1176470588235294,0.1176470588235294
197.0,0.0,2.8846671257237937e-155,0.0,0.0625,0.0
196.0,1.0,5.609571844608773e-155,5.609571844608773e-155,0.1764705882352941,0.1764705882352941
188.0,0.0,4.098292351100502e-155,0.0,0.1212121212121212,0.0
187.0,1.0,7.657404561915943e-155,7.657404561915943e-155,0.3125,0.3125
176.0,0.0,5.359624986283916e-155,0.0,0.1874999999999999,0.0
62.0,1.0,2.946587079304437e-78,2.946587079304437e-78,0.2666666666666666,0.2666666666666666
173.0,1.0,4.095378526044107e-155,4.095378526044107e-155,0.1219512195121951,0.1219512195121951
168.0,1.0,4.65988169467104e-155,4.65988169467104e-155,0.1599999999999999,0.1599999999999999
166.0,0.0,4.9054707110052255e-155,0.0,0.1538461538461538,0.0
160.0,1.0,7.221948193667952e-155,7.221948193667952e-155,0.2380952380952381,0.2380952380952381
158.0,0.0,3.2383880054191053e-155,0.0,0.0983606557377049,0.0
157.0,1.0,4.818674597335635e-155,4.818674597335635e-155,0.1724137931034483,0.1724137931034483
155.0,1.0,1.2564066184005522e-231,1.2564066184005522e-231,0.125,0.125
150.0,0.0,3.996880316158174e-155,0.0,0.2258064516129032,0.0
149.0,1.0,7.14469699963282e-155,7.14469699963282e-155,0.1964285714285714,0.1964285714285714
25.0,0.0,5.3158692855940656e-155,0.0,0.1666666666666666,0.0
143.0,1.0,5.364051329359424e-155,5.364051329359424e-155,0.2499999999999999,0.2499999999999999
140.0,0.0,4.143285835425497e-155,0.0,0.125,0.0
139.0,1.0,4.819877741823134e-155,4.819877741823134e-155,0.2439024390243902,0.2439024390243902
137.0,1.0,4.8164300671782836e-155,4.8164300671782836e-155,0.1764705882352941,0.1764705882352941
136.0,0.0,5.043788381574437e-155,0.0,0.1666666666666666,0.0
134.0,1.0,2.80620248305366e-78,2.80620248305366e-78,0.2,0.2
132.0,1.0,5.74340400309589e-155,5.74340400309589e-155,0.1904761904761905,0.1904761904761905
128.0,1.0,4.016249361359558e-155,4.016249361359558e-155,0.1363636363636363,0.1363636363636363
126.0,1.0,6.739371628317701e-155,6.739371628317701e-155,0.1785714285714285,0.1785714285714285
125.0,1.0,2.711512931823568e-155,2.711512931823568e-155,0.1162790697674418,0.1162790697674418
124.0,1.0,6.5900678916581005e-155,6.5900678916581005e-155,0.2592592592592593,0.2592592592592593
123.0,0.0,5.667113443314699e-155,0.0,0.2083333333333333,0.0
122.0,0.0,5.411517055137399e-155,0.0,0.2,0.0
111.0,1.0,3.4170872600313767e-78,3.4170872600313767e-78,0.28125,0.28125
117.0,0.0,4.417599881331674e-155,0.0,0.1515151515151515,0.0
59.0,0.0,0.0859395017078738,0.0,0.1951219512195122,0.0
113.0,0.0,4.072434326288623e-155,0.0,0.1372549019607843,0.0
104.0,1.0,5.853692408483189e-155,5.853692408483189e-155,0.1874999999999999,0.1874999999999999
10.0,0.0,3.6147038047798657e-155,0.0,0.1153846153846153,0.0
1.0,1.0,4.7842543848248265e-155,4.7842543848248265e-155,0.1944444444444444,0.1944444444444444
178.0,0.0,4.178551022110489e-155,0.0,0.1515151515151515,0.0
129.0,0.0,3.3744794443119017e-78,0.0,0.2380952380952381,0.0
183.0,1.0,6.735531041142092e-155,6.735531041142092e-155,0.24,0.24
181.0,1.0,5.605572147346264e-155,5.605572147346264e-155,0.1621621621621621,0.1621621621621621
7.0,0.0,3.0936650509380607e-155,0.0,0.0677966101694915,0.0
135.0,1.0,3.603235312613151e-78,3.603235312613151e-78,0.2631578947368421,0.2631578947368421
50.0,1.0,5.419644778268655e-155,5.419644778268655e-155,0.2307692307692307,0.2307692307692307
39.0,1.0,6.844769592815e-155,6.844769592815e-155,0.1999999999999999,0.1999999999999999
83.0,1.0,4.136279916031743e-155,4.136279916031743e-155,0.131578947368421,0.131578947368421
71.0,1.0,6.284132823969128e-156,6.284132823969128e-156,0.1176470588235294,0.1176470588235294
213.0,1.0,4.803430137390974e-155,4.803430137390974e-155,0.131578947368421,0.131578947368421
209.0,1.0,4.072434326288623e-155,4.072434326288623e-155,0.1304347826086956,0.1304347826086956
105.0,0.0,3.8125337606980526e-155,0.0,0.1304347826086956,0.0
52.0,0.0,3.5064349727778e-155,0.0,0.0999999999999999,0.0
102.0,1.0,3.642657901694909e-155,3.642657901694909e-155,0.1666666666666666,0.1666666666666666
21.0,0.0,4.338256237331265e-155,0.0,0.2,0.0
34.0,1.0,1.6998547161459807e-78,1.6998547161459807e-78,0.1666666666666666,0.1666666666666666
145.0,1.0,0.1566384057330969,0.1566384057330969,0.25,0.25
154.0,1.0,4.39818086295594e-155,4.39818086295594e-155,0.1428571428571428,0.1428571428571428
198.0,0.0,6.223629500679345e-155,0.0,0.2105263157894737,0.0
162.0,0.0,5.043788381574437e-155,0.0,0.1666666666666666,0.0
212.0,1.0,3.312536071185884e-78,3.312536071185884e-78,0.25,0.25
96.0,0.0,8.19475738927471e-232,0.0,0.0294117647058823,0.0
40.0,0.0,5.492530671320408e-155,0.0,0.1851851851851852,0.0
79.0,1.0,4.601823391841808e-155,4.601823391841808e-155,0.1176470588235294,0.1176470588235294
141.0,0.0,4.098292351100502e-155,0.0,0.1818181818181818,0.0
80.0,0.0,3.599346247667187e-155,0.0,0.1282051282051282,0.0
159.0,1.0,1.7842265606563606e-78,1.7842265606563606e-78,0.1458333333333333,0.1458333333333333
107.0,1.0,5.487681506256249e-155,5.487681506256249e-155,0.1999999999999999,0.1999999999999999
163.0,1.0,1.688940350330845e-155,1.688940350330845e-155,0.1379310344827586,0.1379310344827586
211.0,0.0,4.198239072699589e-155,0.0,0.1111111111111111,0.0
51.0,0.0,3.6046467465044235e-155,0.0,0.0945945945945945,0.0
144.0,0.0,4.803430137390974e-155,0.0,0.1785714285714285,0.0
167.0,1.0,3.4304666703251377e-155,3.4304666703251377e-155,0.1016949152542372,0.1016949152542372
131.0,0.0,5.969061643530969e-155,0.0,0.2222222222222222,0.0
120.0,0.0,2.5914830482886347e-155,0.0,0.2058823529411764,0.0
164.0,0.0,7.241926111174567e-155,0.0,0.25,0.0
88.0,1.0,7.677476567795425e-155,7.677476567795425e-155,0.2413793103448276,0.2413793103448276
151.0,1.0,6.881773688573657e-155,6.881773688573657e-155,0.2352941176470588,0.2352941176470588
63.0,1.0,4.1550798790141415e-155,4.1550798790141415e-155,0.1904761904761905,0.1904761904761905
27.0,1.0,5.952774829701863e-155,5.952774829701863e-155,0.2187499999999999,0.2187499999999999
156.0,1.0,6.223629500679345e-155,6.223629500679345e-155,0.1818181818181818,0.1818181818181818
207.0,1.0,0.1014524997386625,0.1014524997386625,0.1799999999999999,0.1799999999999999
24.0,1.0,7.293108985295422e-155,7.293108985295422e-155,0.2307692307692307,0.2307692307692307
133.0,0.0,4.101216571548797e-155,0.0,0.1320754716981132,0.0
103.0,1.0,4.550160538169341e-155,4.550160538169341e-155,0.1538461538461538,0.1538461538461538
165.0,0.0,3.505126972195164e-155,0.0,0.1388888888888889,0.0
108.0,1.0,6.223629500679345e-155,6.223629500679345e-155,0.2105263157894737,0.2105263157894737
15.0,0.0,5.697020093464323e-155,0.0,0.15625,0.0
45.0,1.0,5.178759661787199e-155,5.178759661787199e-155,0.1785714285714285,0.1785714285714285
82.0,1.0,3.5608750821685696e-78,3.5608750821685696e-78,0.2592592592592593,0.2592592592592593
9.0,1.0,6.054524308026741e-155,6.054524308026741e-155,0.2272727272727272,0.2272727272727272
201.0,1.0,5.502673892122423e-155,5.502673892122423e-155,0.2,0.2
171.0,1.0,4.098292351100502e-155,4.098292351100502e-155,0.1333333333333333,0.1333333333333333
182.0,1.0,4.550160538169341e-155,4.550160538169341e-155,0.1212121212121212,0.1212121212121212
13.0,1.0,4.227555240784788e-155,4.227555240784788e-155,0.1333333333333333,0.1333333333333333
114.0,1.0,4.105424319242439e-155,4.105424319242439e-155,0.1290322580645161,0.1290322580645161
92.0,0.0,4.3233341924983234e-155,0.0,0.1666666666666666,0.0
194.0,0.0,3.3999706075993257e-155,0.0,0.0888888888888888,0.0
175.0,1.0,3.581216623897135e-155,3.581216623897135e-155,0.12,0.12
26.0,0.0,4.3521358589488775e-155,0.0,0.1739130434782609,0.0
60.0,1.0,6.13274920178966e-155,6.13274920178966e-155,0.2,0.2
110.0,1.0,2.255678634127422e-155,2.255678634127422e-155,0.2,0.2
206.0,1.0,1.4635092721110749e-155,1.4635092721110749e-155,0.1388888888888889,0.1388888888888889
97.0,0.0,1.2942033324149489e-155,0.0,0.1785714285714285,0.0
20.0,1.0,2.215226382490221e-78,2.215226382490221e-78,0.1724137931034482,0.1724137931034482
169.0,1.0,4.797345496479161e-155,4.797345496479161e-155,0.1666666666666666,0.1666666666666666
38.0,1.0,5.8757106523996574e-155,5.8757106523996574e-155,0.2,0.2
192.0,1.0,1.80225800389529e-78,1.80225800389529e-78,0.1904761904761905,0.1904761904761905
78.0,1.0,6.378968006113944e-155,6.378968006113944e-155,0.2399999999999999,0.2399999999999999
19.0,0.0,4.209565235941523e-155,0.0,0.1764705882352941,0.0
190.0,1.0,4.4229255086999e-155,4.4229255086999e-155,0.1739130434782609,0.1739130434782609
174.0,0.0,6.288131685209581e-155,0.0,0.1935483870967742,0.0
189.0,1.0,0.055445598391411,0.055445598391411,0.1764705882352941,0.1764705882352941
152.0,0.0,4.1697351645421035e-155,0.0,0.1290322580645161,0.0
94.0,1.0,5.359624986283916e-155,5.359624986283916e-155,0.16,0.16
8.0,1.0,6.223629500679345e-155,6.223629500679345e-155,0.2105263157894737,0.2105263157894737
95.0,1.0,1.948624107145472e-78,1.948624107145472e-78,0.2031249999999999,0.2031249999999999
119.0,1.0,6.223629500679345e-155,6.223629500679345e-155,0.2105263157894737,0.2105263157894737
115.0,1.0,2.3104250616483557e-78,2.3104250616483557e-78,0.1724137931034482,0.1724137931034482
116.0,0.0,3.758887219744955e-155,0.0,0.1111111111111111,0.0
138.0,0.0,2.0489274805111115e-78,0.0,0.2413793103448276,0.0
177.0,1.0,5.755742213835839e-155,5.755742213835839e-155,0.2,0.2
101.0,1.0,3.6922292679052643e-155,3.6922292679052643e-155,0.108695652173913,0.108695652173913
14.0,1.0,4.2562854471622204e-155,4.2562854471622204e-155,0.1351351351351351,0.1351351351351351
87.0,1.0,6.945706419506725e-155,6.945706419506725e-155,0.2444444444444444,0.2444444444444444
148.0,0.0,3.8125337606980526e-155,0.0,0.0999999999999999,0.0
43.0,1.0,6.031902530509417e-155,6.031902530509417e-155,0.1509433962264151,0.1509433962264151
179.0,0.0,0.0130944577595471,0.0,0.0456852791878172,0.0
