Question	Question_ID	ROBERTA_Prediction	ROBERTA_Model
Name the municipality of Roberto Clemente Bridge ?	4	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Name the municipality of Roberto Clemente Bridge ?	4	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which person designed the cars which has been designed by ASC Creative Services?	9	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What tv series can be said to be related to the sarah jane adventure and dr who confidential?	14	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What tv series can be said to be related to the sarah jane adventure and dr who confidential?	14	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which source country of SamurAbsheron channel is the birth place of Anar Salmanov?	20	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which source country of SamurAbsheron channel is the birth place of Anar Salmanov?	20	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which band's former member are Kevin Jonas and Joe Jonas?	23	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which band's former member are Kevin Jonas and Joe Jonas?	23	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
List the teams for which Bobby Hoppe played ?	36	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
List the teams for which Bobby Hoppe played ?	36	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
List the teams for which Bobby Hoppe played ?	36	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
List the teams for which Bobby Hoppe played ?	36	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Where did the office holder died who is successor to Elmer Burkett ?	51	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Where did the office holder died who is successor to Elmer Burkett ?	51	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Where did the office holder died who is successor to Elmer Burkett ?	51	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
In which team did Dave Bing and Ron Reed started their basketball career?	64	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
In which team did Dave Bing and Ron Reed started their basketball career?	64	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
In which team did Dave Bing and Ron Reed started their basketball career?	64	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
In which team did Dave Bing and Ron Reed started their basketball career?	64	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Was Ganymede discovered by Galileo Galilei?	65	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Was Ganymede discovered by Galileo Galilei?	65	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Was Ganymede discovered by Galileo Galilei?	65	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Was Ganymede discovered by Galileo Galilei?	65	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which country has given citizenship to both saima chowdhury and edmund john?	76	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which country has given citizenship to both saima chowdhury and edmund john?	76	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which title of Zaman Shah Durrani is also the nationality of Salahuddin?	84	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which title of Zaman Shah Durrani is also the nationality of Salahuddin?	84	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which title of Zaman Shah Durrani is also the nationality of Salahuddin?	84	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which title of Zaman Shah Durrani is also the nationality of Salahuddin?	84	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
How many party leaders are there whose parties are headquartered in Berlin?	91	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
How many party leaders are there whose parties are headquartered in Berlin?	91	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which country's leader is David Johnston?	102	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which country's leader is David Johnston?	102	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which royal person married the successor of Darius I?	107	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the region of the Kim Sawchuk which is also served by the Airtours International Airways ?	108	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the region of the Kim Sawchuk which is also served by the Airtours International Airways ?	108	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the province of Rouen Business School?	112	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the province of Rouen Business School?	112	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the province of Rouen Business School?	112	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What religions do politicians in the Korean Minjoo Party follow?	113	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What religions do politicians in the Korean Minjoo Party follow?	113	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What religions do politicians in the Korean Minjoo Party follow?	113	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Name the sea with Helsinki as one of the shore city and is also an outflow for Danish straits?	118	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Name the sea with Helsinki as one of the shore city and is also an outflow for Danish straits?	118	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What awards have been won by the executive producer of Timmy Time ?	119	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Count all those who've played for the youth club which owns the Rosario, Santa Fe stadium.	122	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Count all those who've played for the youth club which owns the Rosario, Santa Fe stadium.	122	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Count all those who've played for the youth club which owns the Rosario, Santa Fe stadium.	122	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Count all those who've played for the youth club which owns the Rosario, Santa Fe stadium.	122	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What are some families of mammals in the animal kingdom?	123	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
In which time zone is Pong Pha?	133	1	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
In which time zone is Pong Pha?	133	1	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What system is both a platform where Nord runs and also distributed The beauty inside?	146	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What system is both a platform where Nord runs and also distributed The beauty inside?	146	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What system is both a platform where Nord runs and also distributed The beauty inside?	146	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What system is both a platform where Nord runs and also distributed The beauty inside?	146	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Who were all the people in office when bob hawke was the PM?	149	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Who were all the people in office when bob hawke was the PM?	149	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Who were all the people in office when bob hawke was the PM?	149	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Who were all the people in office when bob hawke was the PM?	149	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Is Queen Latifah associated with Afrika Baby Bam?	171	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Is Queen Latifah associated with Afrika Baby Bam?	171	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Is Queen Latifah associated with Afrika Baby Bam?	171	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Is Queen Latifah associated with Afrika Baby Bam?	171	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Name the tenant of Ever bank field which has also has player named Dan Shamash ?	174	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the largest city in the country where the San Marcos River originates?	176	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the largest city in the country where the San Marcos River originates?	176	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the largest city in the country where the San Marcos River originates?	176	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which holy places did consider Pope Gregory I as a saint?	180	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which holy places did consider Pope Gregory I as a saint?	180	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which holy places did consider Pope Gregory I as a saint?	180	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which holy places did consider Pope Gregory I as a saint?	180	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
In which teams have league members of the Czech Extraliga played previously?	182	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Count the wars in which people awarded with the Croix de guerre fought.	183	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Count the wars in which people awarded with the Croix de guerre fought.	183	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Count the wars in which people awarded with the Croix de guerre fought.	183	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What are some famous people out of the Filipinos?	192	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What are some famous people out of the Filipinos?	192	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Where did they debut their careers, those who have played for US men's national soccer team?	196	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Where did they debut their careers, those who have played for US men's national soccer team?	196	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Where did they debut their careers, those who have played for US men's national soccer team?	196	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Who were in the youth clubs that were in season of 2015 Argentine Primera Division?	204	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Who were in the youth clubs that were in season of 2015 Argentine Primera Division?	204	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Who were in the youth clubs that were in season of 2015 Argentine Primera Division?	204	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the name of the movie whose director of photography was Jordan Cronenweth and music composer was Vangelis?	207	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the name of the movie whose director of photography was Jordan Cronenweth and music composer was Vangelis?	207	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the name of the movie whose director of photography was Jordan Cronenweth and music composer was Vangelis?	207	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the name of the movie whose director of photography was Jordan Cronenweth and music composer was Vangelis?	207	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which parent organization of Get TV also owns the Galleria ?	214	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which parent organization of Get TV also owns the Galleria ?	214	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which parent organization of Get TV also owns the Galleria ?	214	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which parent organization of Get TV also owns the Galleria ?	214	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Where did Goran Cengic die?	216	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which Fox show is presented by Ryan Seacrest?	230	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which Fox show is presented by Ryan Seacrest?	230	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which Fox show is presented by Ryan Seacrest?	230	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which Fox show is presented by Ryan Seacrest?	230	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What railway lines go through the stations maintained by Western Australian Public Transport Authority?	233	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the major shrine of Jacques-Dsir Laval ?	236	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the major shrine of Jacques-Dsir Laval ?	236	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the major shrine of Jacques-Dsir Laval ?	236	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the major shrine of Jacques-Dsir Laval ?	236	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which predecessor of Alexander Downer was deputy to Neil Brown ?	241	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which predecessor of Alexander Downer was deputy to Neil Brown ?	241	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
To which series does the character of Londo Mollari belong?	244	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Count all the scientologists.	245	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Count all the scientologists.	245	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Count all the scientologists.	245	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Count all the scientologists.	245	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the birthplace of Liudmila Privivkova and Qadir Huseynov?	247	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Under which archipelago does Canary Islands fall?	251	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Under which archipelago does Canary Islands fall?	251	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Under which archipelago does Canary Islands fall?	251	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Who are the politicians whose death place is Ontario?	254	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Who are the politicians whose death place is Ontario?	254	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Who are the politicians whose death place is Ontario?	254	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the affiliation of tani University?	270	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the affiliation of tani University?	270	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the affiliation of tani University?	270	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
How many TV shows have been created by Simon Fuller ?	273	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
How many TV shows have been created by Simon Fuller ?	273	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
How many TV shows have been created by Simon Fuller ?	273	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
How many people are known for Dragons' Den?	276	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
How many people are known for Dragons' Den?	276	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
How many people are known for Dragons' Den?	276	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
How many people are known for Dragons' Den?	276	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Greater Napanee is the home town of what people?	284	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Greater Napanee is the home town of what people?	284	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Greater Napanee is the home town of what people?	284	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Is Bacillus belong to the domain Bacteria?	291	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Is Bacillus belong to the domain Bacteria?	291	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
For which other teams do members of tanzanian national football team play?	297	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
For which other teams do members of tanzanian national football team play?	297	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
For which other teams do members of tanzanian national football team play?	297	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
